GENE PRODUCT DB,GENE PRODUCT ID,SYMBOL,GO TERM,GO NAME,ECO ID,GO EVIDENCE CODE,REFERENCE,WITH/FROM,TAXON ID,GO ASPECT,Organel,Gene,Gene name,Reliability,Main location,Additional location,Extracellular location,Enhanced,Supported,Approved,Uncertain,Single-cell variation intensity,Single-cell variation spatial,Cell cycle dependency,GO id
UniProtKB,A4D177,CBX3,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,ARBA:ARBA00026330|InterPro:IPR008251|UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000122565,CBX3,Supported,Nucleoplasm,Nuclear bodies,,,Nuclear bodies;Nucleoplasm,,,,,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
UniProtKB,A4D178,NFE2L3,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0539,9606,C,nucleus,ENSG00000050344,NFE2L3,Approved,Nucleoplasm;Vesicles,,,,,Nucleoplasm;Vesicles,,,,,Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
UniProtKB,A4D182,HOXA3,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191|UniRule:UR000401037,9606,C,nucleus,ENSG00000105997,HOXA3,Supported,Nucleoplasm,,,,Nucleoplasm,,,,,,Nucleoplasm (GO:0005654)
UniProtKB,A4D185,HOXA1,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000044,UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D1E1,ZNF804B,GO:0005634,nucleus,ECO:0000318,IBA,GO_REF:0000033,PANTHER:PTN000427037|RGD:1305239|UniProtKB:Q7Z570,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D1E9,GTPBP10,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0539,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D1L4,NIPA,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D1T0,ZC3HDC1,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D1T9,PRSS37,GO:0005634,nucleus,ECO:0007005,HDA,PMID:21630459,,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D1V8,LOC401327,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D1Z4,KIAA0415,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191|UniRule:UR000413741,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D1Z6,PAPOLB,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB:Q9WVP6|ensembl:ENSMUSP00000100595|InterPro:IPR014492|UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000218823,PAPOLB,Approved,Nucleoplasm,,,,,Nucleoplasm,,,,,Nucleoplasm (GO:0005654)
